IsPanel	Description	Gene	Lookup_Transcript	Reported_Transcript
0	NA	KRT10	NM_000421.3	NM_000421
0	NA	KRT12	NM_000223.3	NM_000223
0	NA	KRT13	NM_153490.2	NM_153490
0	NA	KRT14	NM_000526.4	NM_000526
0	NA	KRT15	NM_002275.3	NM_002275
0	NA	KRT16	NM_005557.3	NM_005557
0	NA	KRT17	NM_000422.2	NM_000422
0	NA	KRT18	NM_000224.2	NM_000224
0	NA	KRT2	NM_000423.2	NM_000423
0	NA	KRT20	NM_019010.2	NM_019010
0	NA	KRT222	NM_152349.2	NM_152349
0	NA	KRT23	NM_015515.3	NM_015515
0	NA	KRT24	NM_019016.2	NM_019016
0	NA	KRT25	NM_181534.3	NM_181534
0	NA	KRT26	NM_181539.4	NM_181539
0	NA	KRT27	NM_181537.3	NM_181537
0	NA	KRT28	NM_181535.3	NM_181535
0	NA	KRT3	NM_057088.2	NM_057088
0	NA	KRT31	NM_002277.2	NM_002277
0	NA	KRT32	NM_002278.3	NM_002278
0	NA	KRT33A	NM_004138.3	NM_004138
0	NA	KRT33B	NM_002279.4	NM_002279
0	NA	KRT34	NM_021013.3	NM_021013
0	NA	KRT35	NM_002280.4	NM_002280
0	NA	KRT36	NM_003771.4	NM_003771
0	NA	KRT37	NM_003770.4	NM_003770
0	NA	KRT38	NM_006771.3	NM_006771
0	NA	KRT39	NM_213656.3	NM_213656
0	NA	KRT4	NM_002272.3	NM_002272
0	NA	KRT40	NM_182497.3	NM_182497
0	NA	KRT5	NM_000424.3	NM_000424
0	NA	KRT6A	NM_005554.3	NM_005554
0	NA	KRT6B	NM_005555.3	NM_005555
0	NA	KRT6C	NM_173086.4	NM_173086
0	NA	KRT7	NM_005556.3	NM_005556
0	NA	KRT71	NM_033448.2	NM_033448
0	NA	KRT72	NM_080747.2	NM_080747
0	NA	KRT73	NM_175068.2	NM_175068
0	NA	KRT74	NM_175053.3	NM_175053
0	NA	KRT75	NM_004693.2	NM_004693
0	NA	KRT76	NM_015848.4	NM_015848
0	NA	KRT77	NM_175078.2	NM_175078
0	NA	KRT78	NM_173352.2	NM_173352
0	NA	KRT79	NM_175834.2	NM_175834
0	NA	KRT8	NM_002273.3	NM_002273
0	NA	KRT80	NM_182507.2	NM_182507
0	NA	KRT81	NM_002281.3	NM_002281
0	NA	KRT82	NM_033033.3	NM_033033
0	NA	KRT83	NM_002282.3	NM_002282
0	NA	KRT84	NM_033045.3	NM_033045
0	NA	KRT85	NM_002283.3	NM_002283
0	NA	KRT86	NM_002284.3	NM_002284
0	NA	KRT9	NM_000226.3	NM_000226
0	NA	KRTAP1-1	NM_030967.2	NM_030967
0	NA	KRTAP1-3	NM_030966.1	NM_030966
0	NA	KRTAP1-5	NM_031957.1	NM_031957
0	NA	KRTAP10-1	NM_198691.2	NM_198691
0	NA	KRTAP10-10	NM_181688.1	NM_181688
0	NA	KRTAP10-11	NM_198692.2	NM_198692
0	NA	KRTAP10-12	NM_198699.1	NM_198699
0	NA	KRTAP10-2	NM_198693.2	NM_198693
0	NA	KRTAP10-3	NM_198696.2	NM_198696
0	NA	KRTAP10-4	NM_198687.1	NM_198687
0	NA	KRTAP10-5	NM_198694.2	NM_198694
0	NA	KRTAP10-6	NM_198688.2	NM_198688
0	NA	KRTAP10-7	NM_198689.2	NM_198689
0	NA	KRTAP10-8	NM_198695.2	NM_198695
0	NA	KRTAP10-9	NM_198690.2	NM_198690
0	NA	KRTAP11-1	NM_175858.2	NM_175858
0	NA	KRTAP12-1	NM_181686.1	NM_181686
0	NA	KRTAP12-2	NM_181684.2	NM_181684
0	NA	KRTAP12-3	NM_198697.2	NM_198697
0	NA	KRTAP12-4	NM_198698.1	NM_198698
0	NA	KRTAP13-1	NM_181599.2	NM_181599
0	NA	KRTAP13-2	NM_181621.3	NM_181621
0	NA	KRTAP13-3	NM_181622.1	NM_181622
0	NA	KRTAP13-4	NM_181600.1	NM_181600
0	NA	KRTAP15-1	NM_181623.1	NM_181623
0	NA	KRTAP16-1	NM_001146182.1	NM_001146182
0	NA	KRTAP17-1	NM_031964.1	NM_031964
0	NA	KRTAP19-1	NM_181607.1	NM_181607
0	NA	KRTAP19-2	NM_181608.1	NM_181608
0	NA	KRTAP19-3	NM_181609.3	NM_181609
0	NA	KRTAP19-4	NM_181610.1	NM_181610
0	NA	KRTAP19-5	NM_181611.1	NM_181611
0	NA	KRTAP19-6	NM_181612.2	NM_181612
0	NA	KRTAP19-7	NM_181614.1	NM_181614
0	NA	KRTAP19-8	NM_001099219.1	NM_001099219
0	NA	KRTAP2-1	NM_001123387.1	NM_001123387
0	NA	KRTAP2-2	NM_033032.2	NM_033032
0	NA	KRTAP2-4	NM_033184.3	NM_033184
0	NA	KRTAP20-1	NM_181615.1	NM_181615
0	NA	KRTAP20-2	NM_181616.1	NM_181616
0	NA	KRTAP20-3	NM_001128077.1	NM_001128077
0	NA	KRTAP21-1	NM_181619.1	NM_181619
0	NA	KRTAP21-2	NM_181617.1	NM_181617
0	NA	KRTAP21-3	NM_001164435.1	NM_001164435
0	NA	KRTAP22-1	NM_181620.1	NM_181620
0	NA	KRTAP22-2	NM_001164434.1	NM_001164434
0	NA	KRTAP23-1	NM_181624.1	NM_181624
0	NA	KRTAP24-1	NM_001085455.1	NM_001085455
0	NA	KRTAP25-1	NM_001128598.1	NM_001128598
0	NA	KRTAP26-1	NM_203405.1	NM_203405
0	NA	KRTAP27-1	NM_001077711.1	NM_001077711
0	NA	KRTAP3-1	NM_031958.1	NM_031958
0	NA	KRTAP3-2	NM_031959.2	NM_031959
0	NA	KRTAP3-3	NM_033185.2	NM_033185
0	NA	KRTAP4-1	NM_033060	NM_033060
0	NA	KRTAP4-11	NM_033059.3	NM_033059
0	NA	KRTAP4-12	NM_031854.2	NM_031854
0	NA	KRTAP4-2	NM_033062.3	NM_033062
0	NA	KRTAP4-3	NM_033187.1	NM_033187
0	NA	KRTAP4-4	NM_032524.1	NM_032524
0	NA	KRTAP4-5	NM_033188.3	NM_033188
0	NA	KRTAP4-6	NM_030976.1	NM_030976
0	NA	KRTAP4-7	NM_033061.3	NM_033061
0	NA	KRTAP4-8	NM_031960.2	NM_031960
0	NA	KRTAP4-9	NM_001146041.1	NM_001146041
0	NA	KRTAP5-1	NM_001005922.1	NM_001005922
0	NA	KRTAP5-10	NM_001012710.1	NM_001012710
0	NA	KRTAP5-11	NM_001005405.2	NM_001005405
0	NA	KRTAP5-2	NM_001004325.1	NM_001004325
0	NA	KRTAP5-3	NM_001012708.2	NM_001012708
0	NA	KRTAP5-4	NM_001012709.1	NM_001012709
0	NA	KRTAP5-5	NM_001001480.2	NM_001001480
0	NA	KRTAP5-6	NM_001012416.1	NM_001012416
0	NA	KRTAP5-7	NM_001012503.1	NM_001012503
0	NA	KRTAP5-8	NM_021046.2	NM_021046
0	NA	KRTAP5-9	NM_005553.3	NM_005553
0	NA	KRTAP6-1	NM_181602.1	NM_181602
0	NA	KRTAP6-2	NM_181604.1	NM_181604
0	NA	KRTAP6-3	NM_181605.3	NM_181605
0	NA	KRTAP7-1	NM_181606	NM_181606
0	NA	KRTAP8-1	NM_175857.3	NM_175857
0	NA	KRTAP9-1	NM_001190460.1	NM_001190460
0	NA	KRTAP9-2	NM_031961.2	NM_031961
0	NA	KRTAP9-3	NM_031962.2	NM_031962
0	NA	KRTAP9-4	NM_033191.2	NM_033191
0	NA	KRTAP9-8	NM_031963.2	NM_031963
0	NA	KRTAP9-9	NM_030975.2	NM_030975
0	NA	KRTCAP2	NM_173852.3	NM_173852
0	NA	KRTCAP3	NM_173853.3	NM_173853
0	NA	KRTDAP	NM_207392.2	NM_207392
0	NA	KSR1	NM_014238.1	NM_014238
0	NA	KSR2	NM_173598.4	NM_173598
0	NA	KTI12	NM_138417.2	NM_138417
0	NA	KTN1	NM_001079521.1	NM_001079521
0	NA	KXD1	NM_024069.3	NM_024069
0	NA	KY	NM_178554.4	NM_178554
0	NA	KYNU	NM_003937.2	NM_003937
0	NA	L1CAM	NM_000425.4	NM_000425
0	NA	L1TD1	NM_019079.4	NM_019079
0	NA	L2HGDH	NM_024884.2	NM_024884
0	NA	L3MBTL1	NM_032107.4	NM_032107
0	NA	L3MBTL2	NM_031488.4	NM_031488
0	NA	L3MBTL3	NM_032438.2	NM_032438
0	NA	L3MBTL4	NM_173464.3	NM_173464
0	NA	LACC1	NM_001128303.1	NM_001128303
0	NA	LACE1	NM_145315.3	NM_145315
0	NA	LACRT	NM_033277.1	NM_033277
0	NA	LACTB	NM_032857.3	NM_032857
0	NA	LACTB2	NM_016027.2	NM_016027
0	NA	LAD1	NM_005558.3	NM_005558
0	NA	LAG3	NM_002286.5	NM_002286
0	NA	LAGE3	NM_006014.4	NM_006014
0	NA	LAIR1	NM_002287.3	NM_002287
0	NA	LAIR2	NM_002288.4	NM_002288
0	NA	LALBA	NM_002289.2	NM_002289
0	NA	LAMA1	NM_005559.3	NM_005559
0	NA	LAMA2	NM_000426.3	NM_000426
0	NA	LAMA3	NM_198129.1	NM_198129
0	NA	LAMA4	NM_001105206.2	NM_001105206
0	NA	LAMA5	NM_005560.4	NM_005560
0	NA	LAMB1	NM_002291.2	NM_002291
0	NA	LAMB2	NM_002292.3	NM_002292
0	NA	LAMB3	NM_000228.2	NM_000228
0	NA	LAMB4	NM_007356.2	NM_007356
0	NA	LAMC1	NM_002293.3	NM_002293
0	NA	LAMC2	NM_005562.2	NM_005562
0	NA	LAMC3	NM_006059.3	NM_006059
0	NA	LAMP1	NM_005561.3	NM_005561
0	NA	LAMP2	NM_001122606.1	NM_001122606
0	NA	LAMP3	NM_014398.3	NM_014398
0	NA	LAMP5	NM_012261.3	NM_012261
0	NA	LAMTOR1	NM_017907.2	NM_017907
0	NA	LAMTOR2	NM_014017.3	NM_014017
0	NA	LAMTOR3	NM_021970.3	NM_021970
0	NA	LANCL1	NM_001136574.1	NM_001136574
0	NA	LANCL2	NM_018697.3	NM_018697
0	NA	LANCL3	NM_001170331.1	NM_001170331
0	NA	LAP3	NM_015907.2	NM_015907
0	NA	LAPTM4A	NM_014713.4	NM_014713
0	NA	LAPTM4B	NM_018407.4	NM_018407
0	NA	LAPTM5	NM_006762.2	NM_006762
0	NA	LARGE	NM_133642.3	NM_133642
0	NA	LARP1	NM_015315.4	NM_015315
0	NA	LARP1B	NM_018078.3	NM_018078
0	NA	LARP4	NM_052879.4	NM_052879
0	NA	LARP4B	NM_015155.2	NM_015155
0	NA	LARP6	NM_018357.2	NM_018357
0	NA	LARP7	NM_015454.2	NM_015454
0	NA	LARS	NM_020117.9	NM_020117
0	NA	LARS2	NM_015340.3	NM_015340
0	NA	LAS1L	NM_031206.4	NM_031206
0	NA	LASP1	NM_006148.3	NM_006148
0	NA	LAT	NM_001014989.1	NM_001014989
0	NA	LAT2	NM_014146.3	NM_014146
0	NA	LAX1	NM_017773.3	NM_017773
0	NA	LAYN	NM_178834.4	NM_178834
0	NA	LBH	NM_030915.3	NM_030915
0	NA	LBP	NM_004139.3	NM_004139
0	NA	LBR	NM_002296.3	NM_002296
0	NA	LBX1	NM_006562.4	NM_006562
0	NA	LBX2	NM_001009812.1	NM_001009812
0	NA	LCA5	NM_001122769.2	NM_001122769
0	NA	LCA5L	NM_152505.3	NM_152505
0	NA	LCAT	NM_000229.1	NM_000229
0	NA	LCE1A	NM_178348.2	NM_178348
0	NA	LCE1B	NM_178349.1	NM_178349
0	NA	LCE1C	NM_178351.3	NM_178351
0	NA	LCE1D	NM_178352.2	NM_178352
0	NA	LCE1E	NM_178353.1	NM_178353
0	NA	LCE1F	NM_178354.2	NM_178354
0	NA	LCE2A	NM_178428.3	NM_178428
0	NA	LCE2B	NM_014357.4	NM_014357
0	NA	LCE2C	NM_178429.3	NM_178429
0	NA	LCE2D	NM_178430.3	NM_178430
0	NA	LCE3A	NM_178431.1	NM_178431
0	NA	LCE3B	NM_178433.1	NM_178433
0	NA	LCE3C	NM_178434.2	NM_178434
0	NA	LCE3D	NM_032563.1	NM_032563
0	NA	LCE3E	NM_178435.3	NM_178435
0	NA	LCE4A	NM_178356.2	NM_178356
0	NA	LCE5A	NM_178438.4	NM_178438
0	NA	LCE6A	NM_001128600.1	NM_001128600
0	NA	LCK	NM_001042771.1	NM_001042771
0	NA	LCLAT1	NM_001002257.1	NM_001002257
0	NA	LCMT1	NM_016309.2	NM_016309
0	NA	LCMT2	NM_014793.4	NM_014793
0	NA	LCN1	NM_001252618.1	NM_001252618
0	NA	LCN10	NM_001001712.2	NM_001001712
0	NA	LCN12	NM_178536.3	NM_178536
0	NA	LCN15	NM_203347.1	NM_203347
0	NA	LCN2	NM_005564.3	NM_005564
0	NA	LCN6	NM_198946.2	NM_198946
0	NA	LCN8	NM_178469.3	NM_178469
0	NA	LCN9	NM_001001676.1	NM_001001676
0	NA	LCNL1	NM_207510.3	NM_207510
0	NA	LCORL	NM_001166139.1	NM_001166139
0	NA	LCP1	NM_002298.4	NM_002298
0	NA	LCP2	NM_005565.3	NM_005565
0	NA	LCT	NM_002299.2	NM_002299
0	NA	LCTL	NM_207338.3	NM_207338
0	NA	LDB1	NM_001113407.1	NM_001113407
0	NA	LDB2	NM_001290.3	NM_001290
0	NA	LDB3	NM_007078.2	NM_007078
0	NA	LDHA	NM_001165414.1	NM_001165414
0	NA	LDHAL6A	NM_001144071.1	NM_001144071
0	NA	LDHAL6B	NM_033195.2	NM_033195
0	NA	LDHB	NM_002300.6	NM_002300
0	NA	LDHC	NM_002301.4	NM_002301
0	NA	LDHD	NM_194436.2	NM_194436
0	NA	LDLR	NM_000527.4	NM_000527
0	NA	LDLRAD1	NM_001010978.3	NM_001010978
0	NA	LDLRAD2	NM_001013693.2	NM_001013693
0	NA	LDLRAD3	NM_174902.2	NM_174902
0	NA	LDLRAP1	NM_015627.2	NM_015627
0	NA	LDOC1	NM_012317.2	NM_012317
0	NA	LDOC1L	NM_032287.2	NM_032287
0	NA	LEAP2	NM_052971.2	NM_052971
0	NA	LECT1	NM_007015.2	NM_007015
0	NA	LECT2	NM_002302.2	NM_002302
0	NA	LEF1	NM_016269.4	NM_016269
0	NA	LEFTY1	NM_020997.3	NM_020997
0	NA	LEFTY2	NM_003240.3	NM_003240
0	NA	LEKR1	NM_001004316.2	NM_001004316
0	NA	LELP1	NM_001010857.2	NM_001010857
0	NA	LEMD1	NM_001199050.1	NM_001199050
0	NA	LEMD2	NM_181336.3	NM_181336
0	NA	LEMD3	NM_014319.4	NM_014319
0	NA	LENEP	NM_018655.2	NM_018655
0	NA	LENG1	NM_024316.1	NM_024316
0	NA	LENG8	NM_052925.2	NM_052925
0	NA	LENG9	NM_198988.1	NM_198988
0	NA	LEO1	NM_138792.2	NM_138792
0	NA	LEP	NM_000230.2	NM_000230
0	NA	LEPR	NM_002303.5	NM_002303
0	NA	LEPRE1	NM_001243246.1	NM_001243246
0	NA	LEPREL1	NM_018192.3	NM_018192
0	NA	LEPREL4	NM_006455.2	NM_006455
0	NA	LEPROT	NM_017526.4	NM_017526
0	NA	LEPROTL1	NM_001128208.1	NM_001128208
0	NA	LETM1	NM_012318.2	NM_012318
0	NA	LETM2	NM_001199659.1	NM_001199659
0	NA	LETMD1	NM_001243689.1	NM_001243689
0	NA	LEUTX	NM_001143832.1	NM_001143832
0	NA	LFNG	NM_001040167.1	NM_001040167
0	NA	LGALS1	NM_002305.3	NM_002305
0	NA	LGALS12	NM_033101.3	NM_033101
0	NA	LGALS13	NM_013268.2	NM_013268
0	NA	LGALS14	NM_020129.2	NM_020129
0	NA	LGALS16	NM_001190441.1	NM_001190441
0	NA	LGALS2	NM_006498.2	NM_006498
0	NA	LGALS3	NM_002306.3	NM_002306
0	NA	LGALS3BP	NM_005567.3	NM_005567
0	NA	LGALS4	NM_006149.3	NM_006149
0	NA	LGALS7	NM_002307.3	NM_002307
0	NA	LGALS7B	NM_001042507.3	NM_001042507
0	NA	LGALS8	NM_006499.4	NM_006499
0	NA	LGALS9	NM_009587.2	NM_009587
0	NA	LGALS9B	NM_001042685.1	NM_001042685
0	NA	LGALS9C	NM_001040078.2	NM_001040078
0	NA	LGALSL	NM_014181.2	NM_014181
0	NA	LGI1	NM_005097.2	NM_005097
0	NA	LGI2	NM_018176.3	NM_018176
0	NA	LGI3	NM_139278.2	NM_139278
0	NA	LGI4	NM_139284.2	NM_139284
0	NA	LGMN	NM_005606.6	NM_005606
0	NA	LGR4	NM_018490.2	NM_018490
0	NA	LGR5	NM_003667.3	NM_003667
0	NA	LGR6	NM_001017403.1	NM_001017403
0	NA	LGSN	NM_016571.2	NM_016571
0	NA	LHB	NM_000894.2	NM_000894
0	NA	LHCGR	NM_000233.3	NM_000233
0	NA	LHFP	NM_005780.2	NM_005780
0	NA	LHFPL1	NM_178175.3	NM_178175
0	NA	LHFPL2	NM_005779.2	NM_005779
0	NA	LHFPL3	NM_199000.2	NM_199000
0	NA	LHFPL4	NM_198560.2	NM_198560
0	NA	LHFPL5	NM_182548.3	NM_182548
0	NA	LHPP	NM_022126.3	NM_022126
0	NA	LHX1	NM_005568.3	NM_005568
0	NA	LHX2	NM_004789.3	NM_004789
0	NA	LHX3	NM_014564.3	NM_014564
0	NA	LHX4	NM_033343.3	NM_033343
0	NA	LHX5	NM_022363.2	NM_022363
0	NA	LHX6	NM_014368.4	NM_014368
0	NA	LHX8	NM_001001933.1	NM_001001933
0	NA	LHX9	NM_020204.2	NM_020204
0	NA	LIAS	NM_006859.3	NM_006859
0	NA	LIF	NM_002309.4	NM_002309
0	NA	LIFR	NM_002310.5	NM_002310
0	NA	LIG1	NM_000234.1	NM_000234
0	NA	LIG3	NM_013975.3	NM_013975
0	NA	LIG4	NM_206937.1	NM_206937
0	NA	LILRA1	NM_006863.3	NM_006863
0	NA	LILRA4	NM_012276.3	NM_012276
0	NA	LILRA5	NM_021250.2	NM_021250
0	NA	LILRB1	NM_001081637.1	NM_001081637
0	NA	LILRB2	NM_001080978.2	NM_001080978
0	NA	LILRB3	NM_001081450.1	NM_001081450
0	NA	LILRB4	NM_006847	NM_006847
0	NA	LILRB5	NM_001081442.1	NM_001081442
0	NA	LIM2	NM_030657.3	NM_030657
0	NA	LIMA1	NM_001113546.1	NM_001113546
0	NA	LIMCH1	NM_014988.2	NM_014988
0	NA	LIMD1	NM_014240.2	NM_014240
0	NA	LIMD2	NM_030576.3	NM_030576
0	NA	LIME1	NM_017806.2	NM_017806
0	NA	LIMK1	NM_002314.3	NM_002314
0	NA	LIMK2	NM_005569.3	NM_005569
0	NA	LIMS1	NM_001193485.2	NM_001193485
0	NA	LIMS2	NM_017980.4	NM_017980
0	NA	LIMS3	NM_033514.4	NM_033514
0	NA	LIN28A	NM_024674.4	NM_024674
0	NA	LIN28B	NM_001004317.3	NM_001004317
0	NA	LIN37	NM_019104.2	NM_019104
0	NA	LIN52	NM_001024674.2	NM_001024674
0	NA	LIN54	NM_194282.2	NM_194282
0	NA	LIN7A	NM_004664.2	NM_004664
0	NA	LIN7B	NM_022165.2	NM_022165
0	NA	LIN7C	NM_018362.3	NM_018362
0	NA	LIN9	NM_173083.3	NM_173083
0	NA	LINGO1	NM_032808.5	NM_032808
0	NA	LINGO2	NM_152570.2	NM_152570
0	NA	LINGO3	NM_001101391.1	NM_001101391
0	NA	LINGO4	NM_001004432.2	NM_001004432
0	NA	LINS	NM_001040616.2	NM_001040616
0	NA	LIPA	NM_001127605.1	NM_001127605
0	NA	LIPC	NM_000236.2	NM_000236
0	NA	LIPE	NM_005357.2	NM_005357
0	NA	LIPF	NM_001198829.1	NM_001198829
0	NA	LIPG	NM_006033.2	NM_006033
0	NA	LIPH	NM_139248.2	NM_139248
0	NA	LIPI	NM_198996.2	NM_198996
0	NA	LIPJ	NM_001010939.2	NM_001010939
0	NA	LIPK	NM_001080518.1	NM_001080518
0	NA	LIPM	NM_001128215.1	NM_001128215
0	NA	LIPN	NM_001102469.1	NM_001102469
0	NA	LIPT1	NM_145199.2	NM_145199
0	NA	LIPT2	NM_001144869.1	NM_001144869
0	NA	LITAF	NM_001136472.1	NM_001136472
0	NA	LIX1	NM_153234.4	NM_153234
0	NA	LIX1L	NM_153713.2	NM_153713
0	NA	LLGL1	NM_004140.3	NM_004140
0	NA	LLGL2	NM_001031803.1	NM_001031803
0	NA	LLPH	NM_032338.3	NM_032338
0	NA	LMAN1	NM_005570.3	NM_005570
0	NA	LMAN1L	NM_021819.2	NM_021819
0	NA	LMAN2	NM_006816.2	NM_006816
0	NA	LMAN2L	NM_001142292.1	NM_001142292
0	NA	LMBR1	NM_022458.3	NM_022458
0	NA	LMBR1L	NM_018113.2	NM_018113
0	NA	LMBRD1	NM_018368.3	NM_018368
0	NA	LMBRD2	NM_001007527.1	NM_001007527
0	NA	LMCD1	NM_014583.3	NM_014583
0	NA	LMF1	NM_022773.2	NM_022773
0	NA	LMF2	NM_033200.2	NM_033200
0	NA	LMLN	NM_001136049.2	NM_001136049
0	NA	LMNA	NM_170707.3	NM_170707
0	NA	LMNB1	NM_005573.3	NM_005573
0	NA	LMNB2	NM_032737.3	NM_032737
0	NA	LMO2	NM_005574.3	NM_005574
0	NA	LMO3	NM_001243612.1	NM_001243612
0	NA	LMO4	NM_006769.3	NM_006769
0	NA	LMO7	NM_005358.5	NM_005358
0	NA	LMOD1	NM_012134.2	NM_012134
0	NA	LMOD2	NM_207163.1	NM_207163
0	NA	LMOD3	NM_198271.3	NM_198271
0	NA	LMTK2	NM_014916.3	NM_014916
0	NA	LMTK3	NM_001080434.1	NM_001080434
0	NA	LMX1A	NM_001174069.1	NM_001174069
0	NA	LMX1B	NM_001174147.1	NM_001174147
0	NA	LNP1	NM_001085451.1	NM_001085451
0	NA	LNPEP	NM_175920.3	NM_175920
0	NA	LNX1	NM_001126328.2	NM_001126328
0	NA	LNX2	NM_153371.3	NM_153371
0	NA	LOC100127983	NM_001190972.1	NM_001190972
0	NA	LOC100128071	NM_001167676.1	NM_001167676
0	NA	LOC100129216	NM_001242853.1	NM_001242853
0	NA	LOC100129480	NM_001195279.1	NM_001195279
0	NA	LOC100129520	NM_001195272	NM_001195272
0	NA	LOC100129636	NM_001195202	NM_001195202
0	NA	LOC100129924	NM_001242750.1	NM_001242750
0	NA	LOC100130301	NM_001243237	NM_001243237
0	NA	LOC100130348	NM_001242631.1	NM_001242631
0	NA	LOC100130357	NM_001242698	NM_001242698
0	NA	LOC100130451	NM_001242575	NM_001242575
0	NA	LOC100130480	NM_001243517.1	NM_001243517
0	NA	LOC100130705	NM_001195150	NM_001195150
0	NA	LOC100130880	NM_001243523	NM_001243523
0	NA	LOC100131094	NM_001242901	NM_001242901
0	NA	LOC100132146	NM_001195442	NM_001195442
0	NA	LOC100132247	NM_001135865.1	NM_001135865
0	NA	LOC100133267	NM_001195257.1	NM_001195257
0	NA	LOC100287036	NM_001242885	NM_001242885
0	NA	LOC100287177	NM_001242348.1	NM_001242348
0	NA	LOC100287482	NM_001195243.1	NM_001195243
0	NA	LOC100287718	NM_001162435.2	NM_001162435
0	NA	LOC100288255	NM_001199232.1	NM_001199232
0	NA	LOC100288524	NM_001195127	NM_001195127
0	NA	LOC100288814	NM_001195081.1	NM_001195081
0	NA	LOC100289187	NM_001195542	NM_001195542
0	NA	LOC100293534	NM_001242823.2	NM_001242823
0	NA	LOC100500938	NM_001195637.1	NM_001195637
0	NA	LOC100505478	NM_001199233	NM_001199233
0	NA	LOC100505549	NM_001242804	NM_001242804
0	NA	LOC100505679	NM_001243531.1	NM_001243531
0	NA	LOC100505841	NM_001195535	NM_001195535
0	NA	LOC100506388	NM_001242780	NM_001242780
0	NA	LOC100506422	NM_001004352	NM_001004352
0	NA	LOC100506688	NM_001242737	NM_001242737
0	NA	LOC100507003	NM_001195256.1	NM_001195256
0	NA	LOC100507203	NM_001195597.1	NM_001195597
0	NA	LOC100507341	NM_001206847.1	NM_001206847
0	NA	LOC100507462	NM_001242740	NM_001242740
0	NA	LOC100653515	NM_001243540.1	NM_001243540
0	NA	LOC147646	NM_001193623.1	NM_001193623
0	NA	LOC147670	NM_001193628.1	NM_001193628
0	NA	LOC154872	NM_001024603	NM_001024603
0	NA	LOC200726	NM_001102659	NM_001102659
0	NA	LOC283403	NM_001242696	NM_001242696
0	NA	LOC283710	NM_001243538	NM_001243538
0	NA	LOC284385	NM_001242812.1	NM_001242812
0	NA	LOC286238	NM_001100111	NM_001100111
0	NA	LOC388276	NM_001242473.1	NM_001242473
0	NA	LOC388849	NM_001243537	NM_001243537
0	NA	LOC391322	NM_001144931	NM_001144931
0	NA	LOC401052	NM_001008737	NM_001008737
0	NA	LOC402160	NM_001193282	NM_001193282
0	NA	LOC440335	NM_001253794.1	NM_001253794
0	NA	LOC440563	NM_001136561.2	NM_001136561
0	NA	LOC554223	NM_001207043	NM_001207043
0	NA	LOC643037	NM_001190462	NM_001190462
0	NA	LOC643669	NM_001243212.1	NM_001243212
0	NA	LOC643802	NM_001207030	NM_001207030
0	NA	LOC646498	NM_001080528.2	NM_001080528
0	NA	LOC646862	NM_001195135.1	NM_001195135
0	NA	LOC649330	NM_001146181.1	NM_001146181
0	NA	LOC650293	NM_001040071	NM_001040071
0	NA	LOC728392	NM_001162371	NM_001162371
0	NA	LOC728819	NM_001101330	NM_001101330
0	NA	LOC729020	NM_001143909.1	NM_001143909
0	NA	LOC729059	NM_001242521.1	NM_001242521
0	NA	LOC729264	NM_001243722.1	NM_001243722
0	NA	LOC730159	NM_001195190	NM_001195190
0	NA	LOC81691	NM_030941.2	NM_030941
0	NA	LOH12CR1	NM_058169.3	NM_058169
0	NA	LONP1	NM_004793.3	NM_004793
0	NA	LONP2	NM_031490.2	NM_031490
0	NA	LONRF1	NM_152271.3	NM_152271
0	NA	LONRF2	NM_198461.3	NM_198461
0	NA	LONRF3	NM_001031855.1	NM_001031855
0	NA	LOR	NM_000427.2	NM_000427
0	NA	LOX	NM_002317.5	NM_002317
0	NA	LOXHD1	NM_144612.6	NM_144612
0	NA	LOXL1	NM_005576.2	NM_005576
0	NA	LOXL2	NM_002318.2	NM_002318
0	NA	LOXL3	NM_032603.2	NM_032603
0	NA	LOXL4	NM_032211.6	NM_032211
0	NA	LPA	NM_005577.2	NM_005577
0	NA	LPAR1	NM_001401.3	NM_001401
0	NA	LPAR2	NM_004720.5	NM_004720
0	NA	LPAR3	NM_012152.2	NM_012152
0	NA	LPAR4	NM_005296.2	NM_005296
0	NA	LPAR5	NM_001142961.1	NM_001142961
0	NA	LPAR6	NM_001162498	NM_001162498
0	NA	LPCAT1	NM_024830.3	NM_024830
0	NA	LPCAT2	NM_017839.4	NM_017839
0	NA	LPCAT3	NM_005768.5	NM_005768
0	NA	LPCAT4	NM_153613.2	NM_153613
0	NA	LPGAT1	NM_014873.2	NM_014873
0	NA	LPHN1	NM_001008701.2	NM_001008701
0	NA	LPHN2	NM_012302.2	NM_012302
0	NA	LPHN3	NM_015236.4	NM_015236
0	NA	LPIN1	NM_145693.2	NM_145693
0	NA	LPIN2	NM_014646.2	NM_014646
0	NA	LPIN3	NM_022896.1	NM_022896
0	NA	LPL	NM_000237.2	NM_000237
0	NA	LPO	NM_006151.2	NM_006151
0	NA	LPP	NM_005578.3	NM_005578
0	NA	LPPR1	NM_207299.1	NM_207299
0	NA	LPPR2	NM_001170635.1	NM_001170635
0	NA	LPPR3	NM_024888.2	NM_024888
0	NA	LPPR4	NM_014839.4	NM_014839
0	NA	LPPR5	NM_001037317.1	NM_001037317
0	NA	LPXN	NM_004811.2	NM_004811
0	NA	LRAT	NM_004744.3	NM_004744
0	NA	LRBA	NM_001199282.2	NM_001199282
0	NA	LRCH1	NM_001164211.1	NM_001164211
0	NA	LRCH2	NM_020871.3	NM_020871
0	NA	LRCH3	NM_032773.2	NM_032773
